N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
79,미래에셋증권,"6,800",200,+3.03%,"5,000","41,162","605,316",12.90,"1,022,715",9.25,6.17,
80,KODEX CD금리액티브(합성),"1,015,935",105,+0.01%,0,"39,332","3,872",0.02,"62,948",N/A,N/A,
81,두산밥캣,"38,050",700,-1.81%,500,"38,145","100,249",40.04,"601,716",4.15,13.78,
82,현대건설,"33,650",250,+0.75%,"5,000","37,471","111,356",22.17,"385,830",10.40,5.49,
83,한온시스템,"7,000",120,+1.74%,100,"37,366","533,800",16.37,"507,543",27.13,0.89,
84,GS,"39,750",350,+0.89%,"5,000","36,934","92,915",22.88,"84,312",3.11,18.86,
85,삼성카드,"31,350",0,0.00%,"5,000","36,322","115,859",5.80,"27,739",6.09,8.08,
86,현대차2우B,"100,100",0,0.00%,"5,000","36,157","36,121",61.31,"52,142",2.90,N/A,
87,한미약품,"285,500","3,500",+1.24%,"2,500","35,865","12,562",15.42,"30,703",35.17,9.89,
88,현대오토에버,"130,500",500,+0.38%,500,"35,788","27,424",4.92,"106,492",24.85,8.00,
89,F&F,"93,000",400,-0.43%,100,"35,626","38,307",13.05,"67,475",7.42,60.40,
90,금호석유,"116,800","9,900",-7.81%,"5,000","34,239","29,314",18.38,"268,295",6.18,19.11,
91,넷마블,"38,800",200,+0.52%,100,"33,350","85,954",22.89,"112,514",-4.62,-14.56,
92,코웨이,"45,000","1,800",+4.17%,500,"33,210","73,800",61.00,"173,507",7.85,21.72,
93,삼성증권,"36,450","1,150",+3.26%,"5,000","32,550","89,300",34.17,"185,119",6.05,6.88,
94,NH투자증권,"9,740",60,+0.62%,"5,000","32,304","331,666",15.71,"328,924",7.62,4.32,
95,강원랜드,"14,750",80,+0.55%,500,"31,556","213,940",13.58,"240,204",11.39,3.47,
96,한진칼,"45,250","2,600",+6.10%,"2,500","30,210","66,762",16.39,"124,096",19.29,33.64,
97,현대해상,"32,150",650,+2.06%,500,"28,742","89,400",37.69,"169,539",4.17,12.44,
98,SKC,"75,900","2,800",-3.56%,"5,000","28,742","37,868",10.45,"888,698",-9.06,-3.67,
99,한국금융지주,"51,500","1,200",+2.39%,"5,000","28,699","55,726",39.47,"116,826",4.22,8.45,
100,농심,"471,500","27,000",+6.07%,"5,000","28,680","6,083",19.17,"30,136",18.53,5.17,
